instance_token,class,scene,matched_frames,unique_track_ids,id_switches
9439a24131dc4e1faa3b5b73f518f1da,truck,scene-0103,10,1,0
7581fd7e9c0f426cb0efb9ea1f3f2830,car,scene-0103,12,2,1
e561b60694dc4514b6dddcfc5a5b6a90,car,scene-0103,14,2,2
898c8b3c29d64d80806dd5e5fc6c02d3,car,scene-0103,1,1,0
0bfc7d407d09490cba7ac57897fcb100,car,scene-0103,11,1,0
db7d65690f2e412e887468596e2ddabf,car,scene-0103,13,1,0
143ecd5e93614768bdb3da695e76c409,car,scene-0103,13,1,0
4a8058d0441a46d381995e1af1086039,car,scene-0103,12,2,2
f2ae958a00e2453b923b9695abc2b5e1,pedestrian,scene-0103,4,1,0
608f6c85cd524242bc9d299c0a954f69,pedestrian,scene-0103,1,1,0
f5c0c1968ef0486cb3183e521841352f,car,scene-0103,3,1,0
f7f666bf92c049bea8fabc42a8831005,car,scene-0103,8,1,0
b9df4a8540da4a3a94d7911ead8c1bc8,car,scene-0103,6,1,0
96c353e8f14d4a63ba2b844d43cffc42,car,scene-0103,9,2,2
1377fe4255444b1495d0ccb972d8ef98,car,scene-0103,3,1,0
f2d9e6f194ee446eafc7a79fcb32994a,car,scene-0103,2,1,0
ba7ec913a8d8494e98ff60579a32acce,car,scene-0103,1,1,0
377df4ee88ec46c9be892080557263f6,car,scene-0103,8,1,0
ec0e6425eae2442698ff7b43d405d279,bicycle,scene-0103,7,1,0
1f8d7e8410ed435da374688590a13b0a,car,scene-0103,5,1,0
2a42fd0e123c455fbaeb1c5f03dba0b2,car,scene-0103,7,1,0
84755505e70547af890aff9db860f692,car,scene-0103,6,1,0
1e4a740fd22b44dda3eed861e6e3f170,car,scene-0103,4,1,0
19f5d51759454803ae8bbc45bfb92737,car,scene-0103,1,1,0
2cc84e32d40647b185276f8d7baf5322,car,scene-0103,4,1,0
2a8a8fc65dc54eeb9e2e161bfa3af0c1,pedestrian,scene-0103,1,1,0
48d06a263b314b48bd41343ea5f5d158,car,scene-0103,1,1,0
68dbf490d231446f92fa7dbd366c8b93,car,scene-0103,1,1,0
349232409f354033b215b5e37c3312ab,car,scene-0103,1,1,0
ca5b3ca5aea745ee8fe12b0f74d77f8e,car,scene-0916,32,1,0
6dafc154a9ef43ff8fd680620dc90433,car,scene-0916,17,2,1
4591a9f392774001a2cf523286505ac9,pedestrian,scene-0916,20,2,1
e2878e5b8aa849a18e39baee3f3440bd,car,scene-0916,12,4,3
a9916751b03c494dafa2eddc4496e702,car,scene-0916,13,4,3
7a770e392a814e7aa80e6eb74dfa91ef,truck,scene-0916,28,1,0
ebcd168fd25247f68482853796c9327f,pedestrian,scene-0916,11,4,4
8a26f7d33ff04b1a8c8679f8c4a7da91,bus,scene-0916,32,1,0
34daad97663c4e8ea00f842adc581ab5,car,scene-0916,23,1,0
cb5fdffa966345cdb9c7c186143b7857,pedestrian,scene-0916,6,4,3
bbe3bc5ca1434a2ea802f5ed5062785e,car,scene-0916,13,3,2
6786acf4f6b644639d550c608785320f,car,scene-0916,32,2,3
af7483c35ffa4ad193d14bbac3b0ab4e,pedestrian,scene-0916,14,2,1
b825554384e042baba291f6f75c1ba49,pedestrian,scene-0916,16,1,0
b7ff9843f0bc4154a865230adb65a45d,pedestrian,scene-0916,10,5,5
ca3f0ced132845b4afce73a6f27a953e,car,scene-0916,7,2,1
8fba9861aa6d4d14b78c90fbb5372fb2,car,scene-0916,30,3,2
6f6934f00f014284856716428eefd90e,pedestrian,scene-0916,4,2,1
52770232202d4ad1a98ed07d5b4c20b9,car,scene-0916,24,1,0
ec5241e32939433baeb2b3955920b28c,car,scene-0916,28,1,0
11a08ff383a6451bbda6b9af56cfa6e2,car,scene-0916,26,1,0
de7bc639112c40ec9ebe406673f1487d,pedestrian,scene-0916,5,2,1
54ca0158a30a4d8291684544ddbeff3f,pedestrian,scene-0916,6,4,3
4b8ef2beabcf4121af0f287cd1a7fd55,pedestrian,scene-0916,16,1,0
e3f3d97fa9564422a37828d01c8a2f5f,car,scene-0916,23,2,1
c8fcea5cd6d344e69a92241622f58be7,pedestrian,scene-0916,11,3,3
c2c271c1bc484bce81639bfda2083588,pedestrian,scene-0916,10,1,0
9256b7cc27954e7bb5e3a3fb8c62474c,pedestrian,scene-0916,1,1,0
c6d85e602dd342d99758b41e64e86e12,pedestrian,scene-0916,5,3,2
55527032f0174fefa3b051a24707bf08,car,scene-0916,34,1,0
89eaf741be444d7e8fcc4748482d338d,pedestrian,scene-0916,6,4,3
e5a06b589b93428c867bd6a92ed6da93,pedestrian,scene-0916,11,3,2
68d411d0e8664a09b4c59787793b0b87,pedestrian,scene-0916,8,3,2
c5a370e03491457485bfda760515e537,pedestrian,scene-0916,8,2,1
65acd0cbce474d9cb2eef362a1b279be,car,scene-0916,31,3,2
eeabbd601fff49c08c086829bfe13287,pedestrian,scene-0916,3,1,0
29d3fb54f8b746118133456815b12eeb,car,scene-0916,19,1,0
7a2612095f7840048f58d69a07e836a5,car,scene-0916,22,1,0
720ca55c654a4ac8bfe9babd1c1072be,car,scene-0916,19,2,1
c5640d5eaa7d42cbbebe7c9bef889b88,motorcycle,scene-0916,9,2,1
856aeb4fa2024f1284c6290a44e9dec5,car,scene-0916,33,1,0
2197057ff31949819b309f2c7ec9a113,car,scene-0916,16,3,2
e83e110484e14c03a995b8c37696f9b3,motorcycle,scene-0916,14,1,0
090067814c7e4bbea134dcd018d2083f,car,scene-0916,17,2,1
0633f89a039a4e05bf60e53b57d1129d,motorcycle,scene-0916,4,1,0
fd4ce422e0db4ad3ab978a811ba04d3a,car,scene-0916,24,2,1
f987ba5f8e6243889a731f8cffe1934b,car,scene-0916,11,2,1
29f69a7cb2c544c8a5ef26437a48e021,car,scene-0916,26,1,0
a661e4cd1f644266a8307b4948082ae7,car,scene-0916,24,1,0
9ca01ff2a1b54d2eafaed768e58783ad,car,scene-0916,22,3,2
fa6ddc168ffb4ab88b718f719357211e,car,scene-0916,29,2,1
6b7d108921ef4e87a46443fbc7f8f59e,motorcycle,scene-0916,13,1,0
a96d8f8c04204ea5b5af21cc0b8a7042,car,scene-0916,9,2,1
ba34f167479c43c69be921c9658a488c,motorcycle,scene-0916,16,1,0
ec2a550c52b240d98c9c3bca3d06602f,car,scene-0916,7,2,1
5999098cd1734cea8979dd41bc34b88f,motorcycle,scene-0916,2,1,0
3eb275ac391e46aa8fad54e18a7b5a8f,car,scene-0916,21,1,0
7e44b8c21c1a415c86f3bb874c4b01c0,truck,scene-0916,23,1,0
63510eb8f6ed4b3189002b1f2648ea1f,car,scene-0916,19,2,1
0cfdfb5bbe8a41268271e24f2edefb9c,car,scene-0916,20,1,0
85269a87307a4ee3967e37b496e32280,car,scene-0916,19,1,0
1a018f3bcdea44f9ab60912938495032,car,scene-0916,16,1,0
64b22104a573415a8c860fc22214619c,car,scene-0916,15,1,0
d71462c2ae74472bae3adbf7a41b2fc7,car,scene-0916,13,1,0
ec221beba32448e4a9865e920aeefed5,car,scene-0916,5,2,1
a1cc58fdb3fa4a0097a315a77ce1be90,car,scene-0916,10,2,1
cdbf619c586f41af8004473d4ec9ec33,car,scene-0916,11,1,0
9a21362d6ebf4e5ea344063cf4ae22ea,car,scene-0916,12,1,0
0fdb63ddcc3e4279a4f7a0bb745c4dcf,car,scene-0916,3,1,0
6ad58d370ed542a9a68e1fcf5a4f2ee7,car,scene-0916,9,2,1
77268b95b44a4b89ad17df89479de81c,car,scene-0916,5,2,1
e676defd488b407886358ccc0764ebe9,car,scene-0916,10,1,0
3eff2b1ecf29497e9967dd21509431fe,car,scene-0916,6,2,1
fe050ab6b19d41d8bc2641f9835e9d1b,car,scene-0916,6,1,0
41b3e689631a41e79d7c803f0765a693,car,scene-0916,6,1,0
307a3275c31f452eb9c7c66636c7bb27,car,scene-0916,2,1,0
3da038082ac84defbcd46f1fdc3c6f03,car,scene-0916,6,1,0
0b2ef8648d3c467989b67d5a3ce2a3df,car,scene-0916,5,1,0
293693af6bb54699a63dfb6d8db3504f,car,scene-0916,5,1,0
e5cabb9d6b474377a206feab4ec64d3f,car,scene-0916,5,1,0
64ce64c25d424c3088db384021d8dbb3,car,scene-0916,4,1,0
48a9d21a865e4d10b3cc49cc91227fba,car,scene-0916,2,1,0
98eef3fdea464efd92fb6aaf0ebe8c9a,car,scene-0916,1,1,0
